School,Counted Scores Regular Regattas,Championship Score
Bates College,"[(2.40864, 'chris-loder'), (2.0072, 'sacred-heart'), (1.4503949999999999, 'penobscot-bay-open'), (1.3727999999999998, 'salt-pond-invite')]","(4.68435, 'ne-fall-tournament')"
Bentley University,"[(1.133030769230769, 'norman-reid'), (1.1005090909090907, 'mt-hope-bay-invite'), (0.9346781249999996, 'george-warren-smith')]","(0, None)"
Boston College,"[(8.529411764705882, 'coed-showcase-final'), (8.5, 'icsa-match-race-national'), (7.229473684210527, 'danmark'), (6.0, 'hood')]","(8.235294117647058, '78th-schell')"
Boston University,"[(8.5, 'moody-trop'), (8.0, 'harry-anderson-jr'), (8.0, 'hood'), (7.1028125, 'neisa-men-singlehanded-championships')]","(7.0588235294117645, '78th-schell')"
Bowdoin College,"[(9.705882352941176, 'coed-showcase-final'), (8.0, 'sherman-hoyt'), (7.0, 'harry-anderson-jr'), (7.0, 'coed-showcase')]","(8.529411764705882, '78th-schell')"
Brown University,"[(8.5, 'coed-showcase'), (8.1175, 'neisa-men-singlehanded-championships'), (7.9411764705882355, 'coed-showcase-final'), (7.0, 'sherman-hoyt')]","(8.823529411764707, '78th-schell')"
U. S. Coast Guard Academy,"[(7.0588235294117645, 'coed-showcase-final'), (6.77763157894737, 'danmark'), (6.0, 'sherman-hoyt'), (5.5, 'captain-hurst-bowl')]","(6.470588235294118, '78th-schell')"
Connecticut College,"[(7.681315789473685, 'danmark'), (5.5, 'harry-anderson-jr'), (5.5, 'hood'), (5.0808333333333335, 'truxtun-umsted-coed-showcase')]","(7.647058823529411, '78th-schell')"
Dartmouth College,"[(8.5, 'hatch-brown'), (7.0, 'captain-hurst-bowl'), (6.5, 'harry-anderson-jr'), (6.470588235294118, 'coed-showcase-final')]","(9.705882352941176, '78th-schell')"
Emmanuel College,[],"(0, None)"
Fairfield University,"[(2.40864, 'fairifeld-cup'), (1.64736, 'salt-pond-invite'), (1.60576, 'sacred-heart')]","(0, None)"
