School,Score
Yale University,45.13315789473684
Harvard University,41.57176470588235
Bowdoin College,40.23529411764706
Roger Williams University,39.76470588235294
Boston College,39.747512899896805
Brown University,38.611372549019606
Dartmouth College,38.17647058823529
Boston University,37.55882352941177
Massachusetts Institute of Technology,37.50226006191951
Tufts University,36.94117647058823
University of Rhode Island,32.79975588235294
U. S. Coast Guard Academy,31.80704334365325
Connecticut College,31.40920794633643
University of Vermont,24.00262326680672
Salve Regina University,19.683557647058823
Northeastern University,19.160681214985996
Massachusetts Maritime Academy,15.510021008403362
Bates College,11.923385
Maine Maritime Academy,11.655284642857143
McGill University,11.0553425
University of Massachusetts at Amherst,7.6149275
Middlebury College,4.132614375
Wentworth Institute of Technology,3.5140197802197797
Bentley University,0
Emmanuel College,0
Fairfield University,0
Johnson and Wales University,0
Providence College,0
Sacred Heart University,0
University of Connecticut,0
University of Massachusetts at Dartmouth,0
University of New Hampshire,0
Wellesley College,0
Wesleyan University,0
Williams College,0
Worcester Polytechnical Institute,0
